delegator_address,node_identity_id,last_claimed_epoch
0xe8e5085a60e25fd706d3e070551d5bfd958effbb,24,6
0x4b5fffa39fa909d0742f4a8242b765ff3e7368bc,24,6
0xc6e93ef0f898626928fcb7f5c8563afa3d303d8d,24,6
0x7ee578d876f9ef1d1deb2678ad9538e9a0ca4db0,24,6
0xbdd13fdcac67c73f167c30a90a51bd93e22f7241,24,6
0x873b0d0b5de0cca15a7e7406bc573eb4e4f567ef,24,6
0x22b750c56a1e6e20799d470a8949896dc3f55c45,24,6
0x7b861ed96cbd628948f83fb097fb6433ca841545,24,6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,25,6
0x6cf9518911f98be2f9b655efceccb4e988a33935,25,6
0x31637facefbb72ba93679e282378148d18bd4276,25,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,25,6
0x2ca389eb130ca46a49557b054584423a12175146,25,6
0x5cd5a90c589e7bf5c939704ce7e36653bc92679f,25,6
0xc78912c51453b5a662411fbe86fc10b3af3a0aaa,25,6
0x48ed67c359e46d6ad9173de87d6e7f45b56de3a0,26,6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,26,6
0x18405396c4cec8447e74d408fabef1a9c2dc6269,26,6
0x6cf9518911f98be2f9b655efceccb4e988a33935,26,6
0xc3bd46c54286cd0bd386eee8000ac3db0cafad01,26,6
0x067a421166c931db7204bc3008e16983c1028eb8,26,6
0x4c9be7044779ff6713238ad5ce60298c78314c7a,26,6
0x69ec70645d69a75d21b6b3d4c40363131c1e30e6,26,6
0xdff199c986eca54263b031c1528e3c2c77a293d6,26,6
0x7232af3552c83e646e4a43368ccde98c4433533f,26,6
0x98a96425b337c80bc9e2bd493a65e7546be8daae,26,6
0x7556e6208491aa331026dd781ade541cabbfa176,26,6
0x1cb3b88fa6c79e4cc3163a04d5ae7862b600e55b,26,6
0x34446d2b12bcb468403386be511ea857e41d5c04,26,6
0xe23a6b2ec7954704422afe8c4c422803928408ba,26,6
0x48e3d72961360c382548d42bb4dda346386bf01c,26,6
0x0dff74d0e2ba5ac1e8eb10e22e795003cc5bfad3,26,6
0x95fe996af6d08933b563b198c3a9bfe91c61c4e9,26,6
0xda3c72d83b40acd5301d8fcf30bf6648b0e6401b,26,6
0x4cbd07e1b723ec2334c5c33dfc92da94cbf8994c,26,6
0xcaecfcd6ce3d265b947d28d6e84b7164595ffa7a,26,6
0x50cb01e6998192c40367637feb61ce6cff575214,26,6
0xf99f7ec305ba1baefa8879ef93cedecfad0815d7,26,6
0xaa6ac66852739b8b88f8e6605c0b0fa775d1ed61,26,6
0x7a0b2557b94e65d8bf16e3511f2bb9aaf62d33d1,26,6
0x95420c8f22c95e94f0c443d4c075b819644014b0,26,6
0xe9ece9221c6ddbcf943f84436d60f15879f3bb2e,26,6
0x8862dc6ed689996bed3783acaab21e0c81b6d305,26,6
0x691447b33b309a15aae73f0209159c61b59eddf7,26,6
0xbf0b7bcb58ed411f702526c5307760d38a7682ce,26,6
0xc6e93ef0f898626928fcb7f5c8563afa3d303d8d,26,6
0xd6926be19705147adf5f4fb06322a5b46ba3a9cc,26,6
0xab543dffa0e9eb2f8ed3a46af9e9923fa4b168a1,26,6
0x3f203b41906c0d099dc82b7c71adc27de4323001,26,6
0x613f0b91a8e9ebcb8ddd527136bc21caad2c4981,26,6
0xba39cb790834d441e625f5e361d0366fa7c1603e,26,6
0xb69d57ecda4ceffaef277a98023777af34aaa995,26,6
0xcce967d8f21b62c5eb3fc5040c1677ef4cde54ba,26,6
0x2284fb05b06133ceda72a81036b48c188aabd0dd,26,6
0x37d0ab7f87c6790a53f6ac8ab3950bc6f77bb9bd,26,6
0x0e62bdc912a42367ae317ffd35c1b647c739c422,26,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,26,6
0xf46cd09fc1aec116a10a1092f78d2c3da02547f2,26,6
0x4366cdbfd0d5797e229103529c2db4adcfd755f1,26,6
0xb939053577269eeb39bceea2b9f99de05ba7668b,26,6
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,26,6
0x6f4ebbba78f679c5eb4ddcb53d9051079113c5de,26,6
0x65aa35353fe7a6beaeaaba1b46e3fd5b0816d4c5,26,6
0x6d6c1f43d4a94ce113bbe82655f24faf94f1d478,26,6
0x7c791910960d0fa63e3b6c9dd54dcbf4a9c6c69f,26,6
