block_number,block_timestamp,tx_index,msg_sender,transaction_hash,contract_name,function_name,function_inputs,processed,error
9778019,1750690626,4,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x92ed6f7165a12a41cd435003dbc93046cba656b4499545ad99de1b11b8ebdfe6,MigratorM1V8_1,migrateDelegatorData,"[""10"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778019,1750690626,5,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xfc3a67be045b7b3219c3b8d06fe866414f2952a61e1779e467231c2abd778371,MigratorM1V8_1,migrateDelegatorData,"[""10"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778020,1750690632,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x2970d0618584ddc14956921f3ef2941988d36e44dcdc723dc72cade56cb3635d,MigratorM1V8_1,migrateDelegatorData,"[""11"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778022,1750690644,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x7ce420539dd7d8ca780ab572453a89147f1de177975ba95195e864947db6711b,MigratorM1V8_1,migrateDelegatorData,"[""11"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778024,1750690656,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xb7f8683deb2fea822d4784f3e8063012bae5a3ebeb683bca683ae6cd1374aeae,MigratorM1V8_1,migrateDelegatorData,"[""12"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778027,1750690674,7,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xe89d26ce8378e02adb9440a3d8fe8691266cf8d10b56f0bdf7eb4c23a7fb6607,MigratorM1V8_1,migrateDelegatorData,"[""13"",""0xB31fB8F1629fd1523bBd4f0AEf474bEce3e3453E""]",false,
9778027,1750690674,1,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x571afcd2574c6425b56fea0d1ed706b5cfeac19a0a5099234a3b9fd6137e3b18,MigratorM1V8_1,migrateDelegatorData,"[""12"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778028,1750690680,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x6f9242bb1f3f836407bf18c5a7e6d1ca59322a05a036a6f615634b19587db765,MigratorM1V8_1,migrateDelegatorData,"[""13"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778029,1750690686,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xfda5b6607468fc34e8195d5e099002b843a4b4799f0f4f971849a9b1e33b8b61,MigratorM1V8_1,migrateDelegatorData,"[""13"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778034,1750690722,5,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xb55cfa04606f2d76f641e42cf478027414eb171196cf2efe67db812ecf740f9b,MigratorM1V8_1,migrateDelegatorData,"[""15"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
